Type,eta,N,psi,thetaS,thetaR,Ks,par1SWRC,par2SWRC,alphaSpecificStorage,betaSpecificStorage,et
L,0,320,0.1,0.38,0.02,0.003697,1.7,1.47,0,0,0
L,-2,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
