Type,eta,N,psi,thetaS,thetaR,Ks,n,psiD,alphaSpecificStorage,betaSpecificStorage,et
L,0,40,-2,0.35,0.07,0.0000981,1.5,-0.3496,0,0,0
L,-2,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
