Type,eta,N,psi,thetaS,thetaR,Ks,alphaSpecificStorage,betaSpecificStorage,n,alpha,et
L,0,320,0.1,0.38,0.02,0.003697,0,0,1.7,1.47,0
L,-2,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
