Type,eta,N,psi,thetaS,thetaR,Ks,n,alpha,alphaSpecificStorage,betaSpecificStorage,et
L,0,320,-50,0.5,0.07,0.00000023,1.16,5.88,0,0,0
L,-2,-999,-50,-999,-999,-999,-999,-999,-999,-999,-999
