Type,eta,N,psi,thetaS,thetaR,Ks,w,sigma1,sigma2,h1,h2,alphaSpecificStorage,betaSpecificStorage,et
L,0,40,-2,0.5,0.02,0.0000981,0.4,1,0.5,-1.25,-0.04,0,0,0
L,-2,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
