Type,eta,N,psi,thetaS,thetaR,Ks,alphaSpecificStorage,betaSpecificStorage,n,alpha,et
L,0,40,-2,0.5,0.07,0.000023,0,0,1.16,5.88,0
L,-2,nan,-2,nan,nan,nan,nan,nan,nan,nan,nan
