Type,eta,N,psi,thetaS,thetaR,Ks,r,sigma,alphaSpecificStorage,betaSpecificStorage,et
L,0,40,-2,0.35,0.07,0.0000981,0.00004323,0.6,0,0,0
L,-2,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
