Type,eta,N,psi,thetaS,thetaR,Ks,n,alpha,alphaSpecificStorage,betaSpecificStorage,et
L,0,1000000,-100,0.5,0.07,0.000023,1.16,5.88,0,0,0
L,-100,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
