Depth[m],Psi[m] 
0.190625,-1.809375
0.184375,-1.815625
0.178125,-1.821875
0.171875,-1.828125
0.165625,-1.834375
0.159375,-1.840625
0.153125,-1.846875
0.146875,-1.853125
0.140625,-1.859375
0.134375,-1.865625
0.128125,-1.871875
0.121875,-1.878125
0.115625,-1.884375
0.109375,-1.890625
0.103125,-1.896875
0.096875,-1.903125
0.090625,-1.909375
0.084375,-1.915625
0.078125,-1.921875
0.071875,-1.928125
0.065625,-1.934375
0.059375,-1.940625
0.053125,-1.946875
0.046875,-1.953125
0.040625,-1.959375
0.034375,-1.965625
0.028125,-1.971875
0.021875,-1.978125
0.015625,-1.984375
0.009375,-1.990625
0.003125,-1.996875
0.000000,0.200000
